title,local_identifier,path
ENA 3954.7,ENA 3954.7,/tmp/arranged/arranged/ENA/3954/007
ENA 3954.9,ENA 3954.9,/tmp/arranged/arranged/ENA/3954/009
ENA 3954.8,ENA 3954.8,/tmp/arranged/arranged/ENA/3954/008
ENA 3954.1,ENA 3954.1,/tmp/arranged/arranged/ENA/3954/001
ENA 3954.6,ENA 3954.6,/tmp/arranged/arranged/ENA/3954/006
ENA 3954.19,ENA 3954.19,/tmp/arranged/arranged/ENA/3954/019
ENA 3954.3,ENA 3954.3,/tmp/arranged/arranged/ENA/3954/003
ENA 3954.4,ENA 3954.4,/tmp/arranged/arranged/ENA/3954/004
ENA 3954.5,ENA 3954.5,/tmp/arranged/arranged/ENA/3954/005
ENA 3954.2,ENA 3954.2,/tmp/arranged/arranged/ENA/3954/002
ENA 2886.15,ENA 2886.15,/tmp/arranged/arranged/ENA/2886/015
ENA 2886.12,ENA 2886.12,/tmp/arranged/arranged/ENA/2886/012
ENA 2886.13,ENA 2886.13,/tmp/arranged/arranged/ENA/2886/013
ENA 2886.14,ENA 2886.14,/tmp/arranged/arranged/ENA/2886/014
ENA 2886.7,ENA 2886.7,/tmp/arranged/arranged/ENA/2886/007
ENA 2886.9,ENA 2886.9,/tmp/arranged/arranged/ENA/2886/009
ENA 2886.8,ENA 2886.8,/tmp/arranged/arranged/ENA/2886/008
ENA 2886.1,ENA 2886.1,/tmp/arranged/arranged/ENA/2886/001
ENA 2886.6,ENA 2886.6,/tmp/arranged/arranged/ENA/2886/006
ENA 2886.11,ENA 2886.11,/tmp/arranged/arranged/ENA/2886/011
ENA 2886.10,ENA 2886.10,/tmp/arranged/arranged/ENA/2886/010
ENA 2886.3,ENA 2886.3,/tmp/arranged/arranged/ENA/2886/003
ENA 2886.4,ENA 2886.4,/tmp/arranged/arranged/ENA/2886/004
ENA 2886.5,ENA 2886.5,/tmp/arranged/arranged/ENA/2886/005
ENA 2886.2,ENA 2886.2,/tmp/arranged/arranged/ENA/2886/002
ENA 3168.7,ENA 3168.7,/tmp/arranged/arranged/ENA/3168/007
ENA 3168.9,ENA 3168.9,/tmp/arranged/arranged/ENA/3168/009
ENA 3168.8,ENA 3168.8,/tmp/arranged/arranged/ENA/3168/008
ENA 3168.1,ENA 3168.1,/tmp/arranged/arranged/ENA/3168/001
ENA 3168.6,ENA 3168.6,/tmp/arranged/arranged/ENA/3168/006
ENA 3168.10,ENA 3168.10,/tmp/arranged/arranged/ENA/3168/010
ENA 3168.3,ENA 3168.3,/tmp/arranged/arranged/ENA/3168/003
ENA 3168.4,ENA 3168.4,/tmp/arranged/arranged/ENA/3168/004
ENA 3168.5,ENA 3168.5,/tmp/arranged/arranged/ENA/3168/005
ENA 3168.2,ENA 3168.2,/tmp/arranged/arranged/ENA/3168/002
ENA 2872.24,ENA 2872.24,/tmp/arranged/arranged/ENA/2872/024
ENA 2872.23,ENA 2872.23,/tmp/arranged/arranged/ENA/2872/023
ENA 2872.15,ENA 2872.15,/tmp/arranged/arranged/ENA/2872/015
ENA 2872.12,ENA 2872.12,/tmp/arranged/arranged/ENA/2872/012
ENA 2872.13,ENA 2872.13,/tmp/arranged/arranged/ENA/2872/013
ENA 2872.14,ENA 2872.14,/tmp/arranged/arranged/ENA/2872/014
ENA 2872.22,ENA 2872.22,/tmp/arranged/arranged/ENA/2872/022
ENA 2872.25,ENA 2872.25,/tmp/arranged/arranged/ENA/2872/025
ENA 2872.7,ENA 2872.7,/tmp/arranged/arranged/ENA/2872/007
ENA 2872.9,ENA 2872.9,/tmp/arranged/arranged/ENA/2872/009
ENA 2872.31,ENA 2872.31,/tmp/arranged/arranged/ENA/2872/031
ENA 2872.30,ENA 2872.30,/tmp/arranged/arranged/ENA/2872/030
ENA 2872.8,ENA 2872.8,/tmp/arranged/arranged/ENA/2872/008
ENA 2872.1,ENA 2872.1,/tmp/arranged/arranged/ENA/2872/001
ENA 2872.6,ENA 2872.6,/tmp/arranged/arranged/ENA/2872/006
ENA 2872.20,ENA 2872.20,/tmp/arranged/arranged/ENA/2872/020
ENA 2872.27,ENA 2872.27,/tmp/arranged/arranged/ENA/2872/027
ENA 2872.18,ENA 2872.18,/tmp/arranged/arranged/ENA/2872/018
