title,local_identifier,path
MS R852.2,MS R852.2,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R852_tiffs
MS R852.4,MS R852.4,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R852_tiffs
MS R852.1,MS R852.1,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R852_tiffs
MS R852.5,MS R852.5,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R852_tiffs
MS R852.3,MS R852.3,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R852_tiffs
MS L586.8,MS L586.8,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.7,MS L586.7,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.3,MS L586.3,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.5,MS L586.5,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.4,MS L586.4,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.6,MS L586.6,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.9,MS L586.9,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.1,MS L586.1,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.2,MS L586.2,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L571.11,MS L571.11,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.2,MS L571.2,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.10,MS L571.10,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.5,MS L571.5,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.8,MS L571.8,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.3,MS L571.3,/Volumes/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
