title,local_identifier,path
MS R852.2,MS R852.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R852_tiffs
MS R852.4,MS R852.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R852_tiffs
MS R852.1,MS R852.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R852_tiffs
MS R852.5,MS R852.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R852_tiffs
MS R852.3,MS R852.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R852_tiffs
MS L586.8,MS L586.8,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.7,MS L586.7,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.3,MS L586.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.5,MS L586.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.4,MS L586.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.6,MS L586.6,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.9,MS L586.9,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.1,MS L586.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L586.2,MS L586.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L586_tiffs
MS L571.11,MS L571.11,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.2,MS L571.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.10,MS L571.10,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.5,MS L571.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.8,MS L571.8,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.3,MS L571.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.7,MS L571.7,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.6,MS L571.6,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.9,MS L571.9,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.4,MS L571.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L571.1,MS L571.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L571_tiffs
MS L572.1,MS L572.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L572_tiffs
MS L572.5,MS L572.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L572_tiffs
MS L572.2,MS L572.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L572_tiffs
MS L572.3,MS L572.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L572_tiffs
MS L572.7,MS L572.7,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L572_tiffs
MS L572.4,MS L572.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L572_tiffs
MS L572.6,MS L572.6,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L572_tiffs
MS L546.5,MS L546.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L546_tiffs
MS L546.2,MS L546.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L546_tiffs
MS L546.6,MS L546.6,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L546_tiffs
MS L546.1,MS L546.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L546_tiffs
MS L546.8,MS L546.8,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L546_tiffs
MS L546.3,MS L546.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L546_tiffs
MS L546.4,MS L546.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L546_tiffs
MS L546.7,MS L546.7,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L546_tiffs
MS L507.4,MS L507.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L507_tiffs
MS L507.1,MS L507.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L507_tiffs
MS L507.6,MS L507.6,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L507_tiffs
MS L507.5,MS L507.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L507_tiffs
MS L507.3,MS L507.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L507_tiffs
MS L507.7,MS L507.7,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L507_tiffs
MS L507.2,MS L507.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L507_tiffs
MS R1888.2,MS R1888.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R1888_tiffs
MS R1888.1,MS R1888.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R1888_tiffs
MS R1888.3,MS R1888.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R1888_tiffs
MS R1888.4,MS R1888.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R1888_tiffs
MS R1888.5,MS R1888.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R1888_tiffs
MS 1512.1,MS 1512.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_1512_tiffs
MS 1512.2,MS 1512.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_1512_tiffs
MS 1512.4,MS 1512.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_1512_tiffs
MS 1512.5,MS 1512.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_1512_tiffs
MS 1512.3,MS 1512.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_1512_tiffs
MS L584.3,MS L584.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L584_tiffs
MS L584.2,MS L584.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L584_tiffs
MS L584.8,MS L584.8,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L584_tiffs
MS L584.6,MS L584.6,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L584_tiffs
MS L584.7,MS L584.7,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L584_tiffs
MS L584.10,MS L584.10,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L584_tiffs
MS L584.1,MS L584.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L584_tiffs
MS L584.5,MS L584.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L584_tiffs
MS L584.9,MS L584.9,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L584_tiffs
MS L584.4,MS L584.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L584_tiffs
MS L123a.5,MS L123a.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L123a.8,MS L123a.8,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L123a.2,MS L123a.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L123a.7,MS L123a.7,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L123a.9,MS L123a.9,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L123a.4,MS L123a.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L123a.3,MS L123a.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L123a.1,MS L123a.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L123a.10,MS L123a.10,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L123a.6,MS L123a.6,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L123a.11,MS L123a.11,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L123a_tiffs
MS L542.5,MS L542.5,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L542_tiffs
MS L542.4,MS L542.4,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L542_tiffs
MS L542.2,MS L542.2,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L542_tiffs
MS L542.1,MS L542.1,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L542_tiffs
MS L542.3,MS L542.3,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_L542_tiffs
MS R1000.37,MS R1000.37,/mnt/diglibdata/pudl/gniza_working/copied_tifs/NEH_Genizah/Bound_MS_Genizah/MS_R1000_tiffs
